"locality","specimen","age_bp","age_lo","age_hi","lat","lon","mass_kg","dstl","gisp_temp","genus","species","presto_tas","presto_sd","cell_lat","cell_lon","cell_age","slice","folder","bioclim_mat","bioclim_tmax","bioclim_precip","bioclim_pseas"
"WICA","422F7A5179",0,0,0,43.5,-103.5,659.234479558101,100,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA","AVID*074*597*636",0,0,0,43.5,-103.5,618.568769391881,97.9,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,480.581935597856,90,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,449.249839253418,88,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,853.727768827648,109,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,976.684887782427,114,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,639.654556280746,99,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,659.234479558101,100,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,901.589510512525,111,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,480.581935597856,90,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"WICA",NA,0,0,0,43.5,-103.5,449.249839253418,88,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"ETVP - Arizona","2757",0,0,0,35.8,-111.8,493.511707126586,90.8,-29.9,"Bison","bison",-0.129192113876343,0.105518802550865,35.15625,247.5,49.5,1,"01_00",22,33,17,38
"ETVP - WICA","2802",0,0,0,43.5,-103.5,556.333663196467,94.5,-29.9,"Bison","bison",-0.172514960169792,0.112830951738811,43.59375,255,49.5,1,"01_00",23,34,17,34
"ETVP - YELL","7535",0,0,0,44.6,-110.5,450.783113834588,88.1,-29.9,"Bison","bison",-0.142731055617332,0.119330755499702,43.59375,251.25,49.5,1,"01_00",16,28,19,19
"Modern - Ranch in WY","8330B",0,0,0,41.3,-105.5,776.303722229906,105.6,-29.9,"Bison","bison",-0.170684948563576,0.117989270118379,40.78125,255,49.5,1,"01_00",17,28,15,21
